,0,1,2,3
0,EXERCICE CLOS LE 31 DECEMBRE 2005 (Unité : en 1000DT) Notes,EXERCICE CLOS LE 31 DECEMBRE 2005 (Unité : en 1000DT) Notes,31 décembre 2005,31 décembre 2004
1,EXERCICE CLOS LE 31 DECEMBRE 2005 (Unité : en 1000DT) Notes,EXERCICE CLOS LE 31 DECEMBRE 2005 (Unité : en 1000DT) Notes,31 décembre 2005,31 décembre 2004
2,"1-Caisse et avoirs auprès de la BC, CCP & TGT",4.1,3770,3995
3,2- Créances sur les établissements bancaires et financlers,4.2,67827,58454
4,3- Créances sur la clientèle,4.3,83880,100311
5,4- Portefeuille-titres commercial,,0,0
6,5- Portefeuille d'investissement,4.4,20,20
7,6- Valeurs Immobilisées,4.5,823,2014
8,7- Autres actifs,4.6,4685,3288
9,TOTAL ACTIF,,161005,168082
10,PASSIE,,,
11,1- Banque centrale et Centre de chèques postaux,,0,0
12,2- Dépôts et avoirs des établissements bancaires et financiers,4.7,31750,57533
13,3- Dépôts et avoirs de la clientèle,4.8,103215,82517
14,4- Emprunts et ressources spéciales,4.9,2595,3613
15,5-A Autres passifs,4.10,8610,11914
16,TOTAL PASSIF,,146170,155577
17,CAPITAUX PROPRES,,,
18,1-0 Capital,,40000,18000
19,2- Réserves,,277,277
20,3- Actions propres,,0,0
21,4-Autres capitaux propres,,0,0
22,5-F Résultats reportés,,15772),(3274)
23,6-F Résultat de l'exercice,,(19670),(2-498)
24,TOTAL CAPITAUX PROPRES,4.11,14-835,12505
25,TOTAL PASSIF ET CAPITAUX PROPRES,,161.005,168082
